"OBS ","","ID ","UF ","","TFW ","SW ","WOV ","TBW ","USW ","PFW ","OCW ","AGW ","ASTLOG ","","BIOLOG ",
"42 ","SCIURUS ","CAROLINENS ","","LSU239 ","0.3630 ","0.0540 ","0.0669 ","C.018400 ","0.2240 ","","","","","","-0.4401 ",
"43 ","SCIURUS ","CAROLINENS ","","LSU143 ","0.3720 ","0.0600 ","0.4700 ","0.019700 ","0.2450 ",". ","","","","","-0.4295 ",
"44 ","SCIURUS ","CAROLINENS ","","LS'240 ","0.4340 ","0.0680 ","0.0740 ","0.021000 ","0.2700 ","","","","","","-0.3625 ",
"45 ","SCIURUS ","NIGER ","LSU94 ","","0.6560 ","0.0210 ","0.0850 ","C.031000 ","0.5180 ","","","","","","-0.1831 ",
"46 ","SCIURUS ","NIGER ","","LSU257 ","0.4090 ","0.0699 ","0.0830 ","0.016400 ","0.2390 ","","","","","","-0.3883 ",
"47 ","RATTUS ","NORVEG ","","LSU244 ","0.3909 ","0.0676 ","0.0676 ","0.015200 ","0.2410 ","","","","","","-0.4079 ",
"48 ","CASTOR ","CANA ","LSU70 ","","1 5.4000 ","2.4900 ","4.7600 ","0.809000 ","7.3400 ","","","","","","1.1875 ",
"49 ","PROCYON ","LOTOR ","","UF1534 ","2.5800 ","","","0.200000 ","","1 1.72 ","","","","","0.4281 ",
"50 ","PROCYON ","LOTOR ","","UF1538 ","3.2600 ",". ","","","e ","12.30 ","","","","","0.5132 ",
"51 ","PROCYON ","LOTOR ","","UF1538 ","3.0500 ","e ","","","","10.90 ","","","","","0.4857 ",
"52 ","PROCYON ","LOTOR ","","UF1538 ","2.8400 ","","","","","12.20 ","","","","","0.4533 ",
"53 ","PROCYON ","LOTOR ","","UF1559 ","3.3250 ","0.5250 ","0.3400 ","0.128300 ","?.3300 ","12.90 ","25.20 ","","","","0.5218 ",
"54 ","PROCYON ","LOTOR ","","UF1560 ","4.8160 ","0.7420 ","","0.223000 ","2.7900 ","12.69 ","","","","","0.6827 ",
"55 ","PROCYON ","LOTOR ","","UF1563 ","1.3900 ","0.2900 ","","0.062000 ","1.0400 ","9.50 ","","","","","0.1430 ",
"56 ","PROCYON ","LOTOR ","","UF1563 ","2.4600 ","0.4800 ","0.2650 ","0.107000 ","1.6090 ","11.30 ","","","","","0.3909 ",
"57 ","PROCYON ","LOTOR ","","UF1574 ","4.2600 ","0.9050 ","0.1700 ","0.234000 ","2.9410 ","12.48 ","25.50 ","","","","0.6294 ",
"58 ","PROCYON ","LOTOR ","","UF1587 ","3.6350 ","0.6200 ","0.4CC0 ","0.226000 ","2.3900 ","12.38 ","","","","","0.5605 ",
"59 ","PROCYON ","LOTOR ","","UF1600 ","4.6700 ","0.8600 ","1.0800 ","0.220000 ","2.5100 ","12.21 ","","","","","0.6693 ",
"60 ","PROCYON ","LOTOR ","","PRANGE ","4.2100 ","","","0.233000 ","","","","","","","0.6243 ",
"61 ","POTOS ","SP ","","PRANGE ","2.2500 ","","","0.128000 ","",". ",". ","","","","0.3522 ",
"62 ","PROCYON ","LOTOR ","","L3U154 ","1.6520 ","0.3000 ","0.3130 ","0.080400 ","0.9700 ","","","","","","0.2180 ",
"63 ","PROCYON ","LOTOR ","LSU6O ","","3.2000 ","0.4860 ","0.5140 ","0.175000 ","2.0200 ","","","","","","0.5051 ",
"64 ","PROCYON ","LOTOR ","","LSJ152 ","3.7710 ","0.6570 ","0.7140 ","0.198500 ","2.2000 ","","","","","","0.5765 ",
"65 ","LUTRA ","CANADENS I ","","UF2157 ","9.6800 ","1.9800 ","1.8600 ","","","11.75 ","32.53 ","","","","0.9859 ",
"66 ","MUSTELUS ","FRENATA ","","UF13556 ","0.3820 ","0.0760 ","0.0530 ","",". ","4.16 ","","","","","-0.4179 ",
"67 ","MUSTELUS ","SP ","","PRANGE ","0.3500 ","","","C.017300 ","","","","","","","-0.4559 ",
"68 ","SPILOGALE ","SP ","","PRANGF ","0.1490 ","","","0.010000 ","",". ","","","","","-0.8268 ",
"69 ","ME EPHITIS ","MEPHITIS ","","LSU17O ","1.0200 ","0.2300 ","0.1400 ","0.044250 ","0.2103 ","e ","","","","","0.0086 ",
"70 ","MEPHITIS ","ME PHITIS ","","L$U297 ","2.7800 ","0.4890 ","0.2875 ","0.081100 ","1.9200 ","e ","","","","","0.4440 ",
"71 ","MUSTELA ","VISION ","","LSU142 ","0.6590 ","0.2210 ","0.1430 ","0.050200 ","0.2450 ","","","","","","-0.1811 ",
"72 ","LYNX ","RUFUS ","","UF1388 ","5.2500 ","","0.8400 ","0.295000 ","","13.61 ","","","","","0.7202 ",
"73 ","LYNX ","RUFUS ","","UF2100 ","5.8200 ","0.6200 ","0.7800 ","0.607000 ","3.8030 ","13.58 ","29.79 ","","","","0.7649 ",
